timestamp,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,sa,sb,sc,sd,tx-voltage,timer1,timer2
3356,-22,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,-22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2356,0
3360,-22,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2360,0
3364,-23,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,-23,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2364,0
3368,-23,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,-23,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2368,0
3372,-24,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,-24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2372,0
3376,-25,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,-25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2376,0
3380,-25,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,-25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2380,0
3384,-26,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42,-26,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2384,0
3388,-27,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,-27,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2388,0
3392,-28,-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,-28,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2392,0
3396,-29,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34,-29,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2396,0
3400,45,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,45,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2400,0
3404,45,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,45,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2404,0
3408,44,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,44,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2408,0
3412,43,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,43,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2412,0
3416,42,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,42,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2416,0
3420,40,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2420,0
3424,39,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,39,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2424,0
3428,37,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2428,0
3432,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2432,0
3436,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2436,0
3440,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2440,0
3444,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2444,0
3448,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2448,0
3452,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2452,0
3456,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2456,0
3460,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2460,0
3464,32,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2464,0
3468,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2468,0
3472,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2472,0
3476,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-1024,-1024,-1024,-1024,7.9,2476,0
